,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,0.0006683667500813802,0.00047260666130215847,0.00033434232076009113,0.00047283144449421655,1,0.125,linear,"{'C': 1, 'gamma': 0.125, 'kernel': 'linear'}",1.0,0.9607843137254902,0.9791666666666666,0.98,0.016179144164088305,10,0.9797979797979798,1.0,0.9901960784313726,0.989998019409784,0.008248629202994184
1,0.0010027090708414714,1.1239159602905075e-07,0.0,0.0,1,0.125,rbf,"{'C': 1, 'gamma': 0.125, 'kernel': 'rbf'}",0.9803921568627451,0.9607843137254902,0.9791666666666666,0.9733333333333334,0.009020673423841885,24,0.9696969696969697,0.98989898989899,0.9705882352941176,0.9767280649633592,0.009320355370055428
2,0.00033434232076009113,0.00047283144449421655,0.00034244855244954425,0.0004842953872891797,1,0.25,linear,"{'C': 1, 'gamma': 0.25, 'kernel': 'linear'}",1.0,0.9607843137254902,0.9791666666666666,0.98,0.016179144164088305,10,0.9797979797979798,1.0,0.9901960784313726,0.989998019409784,0.008248629202994184
3,0.0,0.0,0.0,0.0,1,0.25,rbf,"{'C': 1, 'gamma': 0.25, 'kernel': 'rbf'}",0.9803921568627451,0.9607843137254902,0.9791666666666666,0.9733333333333334,0.009020673423841885,24,0.9696969696969697,1.0,0.9803921568627451,0.9833630421865717,0.012548254356472291
4,0.0,0.0,0.0,0.0,1,0.5,linear,"{'C': 1, 'gamma': 0.5, 'kernel': 'linear'}",1.0,0.9607843137254902,0.9791666666666666,0.98,0.016179144164088305,10,0.9797979797979798,1.0,0.9901960784313726,0.989998019409784,0.008248629202994184
5,0.00032520294189453125,0.00045990641095087565,0.0,0.0,1,0.5,rbf,"{'C': 1, 'gamma': 0.5, 'kernel': 'rbf'}",0.9803921568627451,0.9803921568627451,0.9791666666666666,0.98,0.0005716619504750275,10,0.9595959595959596,0.9797979797979798,0.9705882352941176,0.9699940582293524,0.008258134973020165
6,0.00033434232076009113,0.00047283144449421655,0.0,0.0,1,1,linear,"{'C': 1, 'gamma': 1, 'kernel': 'linear'}",1.0,0.9607843137254902,0.9791666666666666,0.98,0.016179144164088305,10,0.9797979797979798,1.0,0.9901960784313726,0.989998019409784,0.008248629202994184
7,0.001012722651163737,1.4679478361505024e-05,0.0,0.0,1,1,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.9803921568627451,0.9411764705882353,1.0,0.9733333333333334,0.024414717515722953,24,0.9696969696969697,1.0,0.9803921568627451,0.9833630421865717,0.012548254356472291
8,0.0006676514943440756,0.00047210114996419693,0.00033624966939290363,0.00047552884279891374,1,2,linear,"{'C': 1, 'gamma': 2, 'kernel': 'linear'}",1.0,0.9607843137254902,0.9791666666666666,0.98,0.016179144164088305,10,0.9797979797979798,1.0,0.9901960784313726,0.989998019409784,0.008248629202994184
9,0.0009996096293131511,1.3083849352046126e-05,0.0,0.0,1,2,rbf,"{'C': 1, 'gamma': 2, 'kernel': 'rbf'}",0.9803921568627451,0.9607843137254902,1.0,0.98,0.015924659219017204,10,0.9696969696969697,1.0,0.9901960784313726,0.9866310160427808,0.012625388806224458
10,0.0,0.0,0.0,0.0,1,4,linear,"{'C': 1, 'gamma': 4, 'kernel': 'linear'}",1.0,0.9607843137254902,0.9791666666666666,0.98,0.016179144164088305,10,0.9797979797979798,1.0,0.9901960784313726,0.989998019409784,0.008248629202994184
11,0.00033434232076009113,0.00047283144449421655,0.00033410390218098957,0.0004724942697061294,1,4,rbf,"{'C': 1, 'gamma': 4, 'kernel': 'rbf'}",1.0,0.9411764705882353,0.9791666666666666,0.9733333333333334,0.02458146387042627,24,0.9797979797979798,1.0,0.9901960784313726,0.989998019409784,0.008248629202994184
12,0.0006684462229410807,0.0004726629472967252,0.0,0.0,2,0.125,linear,"{'C': 2, 'gamma': 0.125, 'kernel': 'linear'}",1.0,0.9607843137254902,1.0,0.9866666666666667,0.018576814560512946,1,0.9696969696969697,1.0,0.9901960784313726,0.9866310160427808,0.012625388806224458
13,0.0003341833750406901,0.00047260666130215836,0.0006683667500813802,0.0004726067013942837,2,0.125,rbf,"{'C': 2, 'gamma': 0.125, 'kernel': 'rbf'}",0.9803921568627451,0.9607843137254902,0.9791666666666666,0.9733333333333334,0.009020673423841885,24,0.9696969696969697,1.0,0.9803921568627451,0.9833630421865717,0.012548254356472291
14,0.0,0.0,0.0003342628479003906,0.0004727190528981875,2,0.25,linear,"{'C': 2, 'gamma': 0.25, 'kernel': 'linear'}",1.0,0.9607843137254902,1.0,0.9866666666666667,0.018576814560512946,1,0.9696969696969697,1.0,0.9901960784313726,0.9866310160427808,0.012625388806224458
15,0.0,0.0,0.0006679693857828776,0.00047232593303687655,2,0.25,rbf,"{'C': 2, 'gamma': 0.25, 'kernel': 'rbf'}",1.0,0.9803921568627451,0.9791666666666666,0.9866666666666667,0.00958280049669602,1,0.9595959595959596,1.0,0.9705882352941176,0.9767280649633591,0.0170566653934917
16,0.0,0.0,0.0,0.0,2,0.5,linear,"{'C': 2, 'gamma': 0.5, 'kernel': 'linear'}",1.0,0.9607843137254902,1.0,0.9866666666666667,0.018576814560512946,1,0.9696969696969697,1.0,0.9901960784313726,0.9866310160427808,0.012625388806224458
